Count of A1C Result Value,A1c Min Value,A1c Avg Value,A1c Max Value
5,5.7,6.76,7.8
5,6,6.9,8.2
4,6.8,8.48,10
2,8,8.1,8.2
9,6.4,6.99,7.8
6,5.8,7.28,9.1
2,7.4,8,8.6
4,6.5,7.35,8
7,10.1,11.83,15.3
8,5.3,6.06,7.1
8,7.1,8.56,9.2
9,7,7.86,8.8
7,6.9,8.39,9.6
4,7.7,9.23,10.5
4,5.7,6.3,7.3
6,7.5,8.6,9.8
4,7.9,9.85,11.3
7,8.7,9.79,10.3
4,7.7,8.03,8.5
3,5.8,6,6.2
2,6.4,8.7,11
12,5.7,5.98,6.3
4,5.6,6.93,7.8
3,6.8,8.1,9.2
1,9.1,9.1,9.1
6,9,11.13,12.7
6,7.2,7.97,9.2
6,7.5,7.98,8.5
6,7.4,7.97,8.3
6,8.6,11.28,15.9
7,7.9,8.8,9.4
4,9.6,10.7,11.6
4,6.4,6.65,7.1
4,6.1,6.48,7
5,6.4,7.38,10.1
8,5.3,5.59,5.9
13,6.5,7.48,9.4
3,7.6,7.93,8.3
6,5.9,6.17,6.4
5,6.2,6.72,7.5
10,8.8,10.09,11
4,5.2,5.55,5.8
6,6.7,7.97,8.9
4,8.4,9.1,10
3,9,9.43,10.1
3,6.8,9.73,12.4
6,6.6,6.83,7
2,9.7,10.05,10.4
3,5.9,5.97,6
5,5.3,5.74,6.7
9,8.1,8.93,10.2
1,6.5,6.5,6.5
5,7.5,7.8,8.2
6,5.8,5.87,6.1
4,7.9,8.13,8.4
9,8.4,9.49,11.1
4,12,12.93,14
4,10.2,10.7,11.9
5,9.6,10.08,10.7
3,6.9,7.5,8
5,4,4.2,4.4
5,6.2,6.46,6.7
9,7.4,8.52,9.7
8,5.7,6.49,7.5
6,5.5,6.23,6.7
5,6.1,6.7,7.3
9,9,10.38,11.8
5,6.5,6.58,6.7
13,6,6.46,6.8
9,6.7,7.2,8
2,7.7,7.85,8
9,7.8,9.63,11.5
6,6,6.35,7
5,6.6,7.98,9.2
4,5.4,5.68,6.4
4,6.7,7.58,8
6,8,9.03,9.8
4,8.1,8.88,9.4
7,6.3,6.9,8
6,6.3,6.52,6.7
12,5.4,5.68,6.1
3,9,9.27,9.7
7,5.9,6.34,6.7
4,6.7,8.75,10.7
6,7.2,7.72,8.2
9,8.9,10.16,11.6
4,7.4,7.73,8.4
1,9.5,9.5,9.5
9,6.3,7.03,7.5
6,6.9,7.3,7.8
10,8.6,10.81,13
1,7.6,7.6,7.6
7,8.6,9.73,11.5
10,6.9,7.4,8
4,8.5,8.68,8.9
5,4.5,5.2,5.8
8,6.3,8.06,10.6
8,9.5,10.68,12.8
4,7.2,7.95,8.7
2,7,7.3,7.6
1,4.9,4.9,4.9
5,7.9,8.78,10.1
4,6.8,7.03,7.2
5,8.6,10.42,12.5
4,7.6,9.3,11
2,5.8,6.05,6.3
4,7.7,8.45,9.1
3,7.2,8.13,9.3
5,7.3,8.3,9.8
3,6.9,7.03,7.3
6,8.1,8.95,9.6
3,7.7,8.87,9.7
2,5.2,5.2,5.2
5,7.5,8.2,9.2
5,5.6,6.86,7.5
8,6.2,7.48,8.4
9,6.2,7.42,8.6
5,7.4,9.04,10
8,5.9,6.95,7.9
7,6.7,7.43,8
3,5.4,5.4,5.4
5,6.7,7.02,7.3
3,7.4,7.87,8.1
5,7.1,7.6,8.4
6,6.2,6.55,6.8
3,5.5,5.7,6
4,6.1,6.63,7
6,4.9,7.63,11.7
7,6.9,7.21,7.7
7,6.6,8.09,9.2
10,6.7,9.21,12.5
2,6.2,6.5,6.8
3,6.4,7.5,8.9
7,4.5,5.64,6.6
3,5.9,6,6.1
2,6.7,6.8,6.9
4,7.8,8.35,9.4
5,6.5,6.9,7.2
2,6.4,6.5,6.6
7,6.6,7.04,7.5
1,7.4,7.4,7.4
8,5.4,5.84,6.2
5,6,6.14,6.3
2,6.4,6.5,6.6
6,6.3,6.43,6.9
4,8.9,9.25,9.9
1,7.9,7.9,7.9
5,8.7,9.18,9.4
6,7.6,8.23,8.9
6,6.5,7.05,7.8
8,8.2,9.16,10.2
4,9.1,9.28,9.5
4,5.6,6.78,7.6
3,7.7,8.53,9.2
7,11.6,12.33,13.5
3,6.6,6.8,7
11,5.9,7.21,8.7
3,6.1,7.27,8.1
4,5.2,5.28,5.4
4,11.8,12.58,14
3,5.5,5.57,5.6
3,9.5,10.93,13.3
3,6.1,6.43,6.7
3,5.9,6,6.2
4,6.2,6.8,7.2
10,7.2,7.72,8.5
6,7.8,8.68,9.1
5,6.9,7.94,9.2
3,5.9,6.33,6.6
2,7,7.65,8.3
4,6.4,6.88,7.3
5,7.1,8.42,9.7
2,6.7,6.75,6.8
7,8.9,10.16,11.7
7,8.2,9.01,9.5
6,8.5,9.25,10
3,7.2,9.13,10.1
4,8.8,10.28,11.7
7,7.1,8.54,11.2
5,8,8.98,10.4
5,9.1,9.44,9.9
4,5.7,6.85,7.7
10,6.5,7.16,8
5,6.3,7.64,9.3
2,8,8.3,8.6
6,8.9,11.1,13.1
8,7.2,8.13,8.9
4,4.7,4.93,5.1
2,5.8,7.1,8.4
2,8,8.6,9.2
7,6,7.21,8.8
4,7.5,9.13,10.6
2,6.5,6.7,6.9
2,9.8,10.25,10.7
5,5.9,6.54,7
6,7.4,10.12,12
1,9.8,9.8,9.8
9,6.6,7.16,8.2
1,6.2,6.2,6.2
9,5.2,5.46,5.8
5,7.5,9.66,11.4
3,5.5,5.63,5.7
7,6.5,7.6,9.5
6,9.3,9.97,10.8
5,6.7,7.16,8.4
4,7.2,8.03,9.4
3,5.4,6.57,7.7
7,6.8,7.41,7.9
2,6.2,6.55,6.9
1,5.3,5.3,5.3
4,6.5,6.58,6.7
6,7.4,8.57,9.4
6,6.2,6.45,7
2,7.5,7.8,8.1
6,5.5,7.07,8.8
1,5.4,5.4,5.4
4,8.2,8.6,9
3,7.7,8.07,8.5
3,7.6,9.57,11.7
1,12.8,12.8,12.8
4,6,6.83,7.5
6,6.3,7.03,7.8
5,6.1,6.34,6.6
3,9.6,9.7,9.9
6,7.4,7.87,8.1
3,11.2,11.97,13
6,7.7,8.97,9.9
6,7.6,9,10.4
4,6.4,6.95,8.2
10,6.7,8.05,10
3,7,7.77,8.2
5,6,6.06,6.3
6,5.7,8.48,12.6
5,9.3,10.34,11.5
5,8.1,9.8,12.4
8,7.1,7.33,7.5
2,5.5,5.75,6
8,8.5,10.31,11.7
7,8.1,8.53,9.2
4,6.6,7.53,8.5
2,15,15.05,15.1
1,6.8,6.8,6.8
6,6.7,7.1,7.3
6,8.1,8.4,8.9
2,6.2,6.35,6.5
5,7,8.78,11.5
5,7.8,8.74,9.7
4,6.3,7.2,8.9
2,7.8,10.15,12.5
3,6.8,7.3,7.7
1,10.3,10.3,10.3
2,8.2,8.3,8.4
6,7,8.22,12
3,7.9,8.17,8.4
9,6.3,7.04,9.1
5,7.9,8.74,9.5
1,7.3,7.3,7.3
7,6.8,8.64,10.6
5,7.3,8.34,9.3
4,7.4,8.08,8.7
4,6,6.93,7.7
5,5.6,6.44,7.5
4,6.1,6.8,7.5
5,7.6,8.68,10.3
7,6.7,10.06,12.3
6,6,6.33,6.9
2,8.9,9,9.1
5,7.8,8.26,8.6
4,6.8,7.3,7.7
12,7.8,8.4,9.5
4,7.5,8.13,8.6
6,8.3,9.93,11.5
5,6.1,7.04,7.6
4,5.4,5.73,6.2
3,8.3,11.13,14.4
4,7.5,9.08,10.7
6,6.3,6.52,6.7
5,7.3,7.94,9
7,7.5,8.19,8.9
9,7.5,9.58,12
3,7.9,8.1,8.4
4,7.2,7.98,8.4
4,8.1,8.65,9.9
9,7,8.73,9.7
6,6,6.4,6.7
3,5.7,5.93,6.3
7,7.9,8.79,9.6
2,6.8,6.95,7.1
6,7.1,7.3,7.8
1,8.7,8.7,8.7
5,6.1,6.4,6.6
3,8.9,9.63,10.4
5,6.2,7.22,8.9
4,6,6.5,7
6,9.9,11.13,13
5,5.4,5.92,7
6,7.9,8.23,9
2,5.9,6.4,6.9
11,8.9,10.49,12.2
7,9.7,10.26,11.5
6,6.9,7.65,9.3
3,7.6,7.73,7.9
8,5.7,6.55,8.1
5,5.9,6.46,7.1
13,7,8.61,10.4
8,6.8,9.21,11.8
5,9.1,10.64,12.6
4,9,10.33,12.5
3,5.1,6.07,7.6
3,7.4,7.77,8.3
4,6.2,6.68,7.8
10,7.6,7.96,8.7
4,9,10.45,12.7
5,6.8,7.52,8.5
4,7.8,8.38,8.9
5,8.3,8.86,9.6
4,6.4,6.88,7.4
7,6,6.54,6.9
9,7.3,7.89,9.6
2,7.8,8.6,9.4
4,5.8,6.2,6.7
5,9.3,10.12,10.6
13,6.7,7.65,11.3
5,6.3,6.52,6.8
9,6.3,6.89,8.2
5,5.8,5.94,6.2
3,8.2,8.67,8.9
4,9.1,11.58,13.8
4,12,12.93,14
4,5.5,6.08,6.6
9,5.8,6.41,7.7
5,5.5,6.52,7.3
3,7.7,8.87,9.6
7,7.6,8.26,9.2
7,8.2,9.16,9.9
5,6.6,6.8,7
6,5,5.47,5.8
5,5.1,5.76,6.6
5,5.8,6.44,7.2
8,4.6,5.34,5.9
11,5.5,6.21,7.2
3,7.6,8.57,10.4
3,6,6.23,6.6
6,6.2,6.75,7.7
1,6.8,6.8,6.8
5,7.7,8.94,11.1
1,9.1,9.1,9.1
5,6.6,6.82,7
5,7.1,8.86,11.2
5,8.1,8.58,9.2
1,6.6,6.6,6.6
5,7.7,8,8.2
1,8.8,8.8,8.8
6,8.8,10.38,14
7,5.1,5.7,6.1
4,7.2,7.5,7.8
11,5.2,5.64,5.9
5,7.6,8.46,9.1
6,5.9,6.53,7
6,7.2,7.75,8.9
8,7.5,8,8.5
5,6.1,6.46,6.9
3,6.1,6.3,6.4
4,7.3,8.28,8.8
2,5,5.05,5.1
5,6.2,7.6,8.8
2,8.7,8.85,9
3,6.2,8.4,11.4
5,7.5,8.28,9
6,5.2,5.55,6.2
4,5.8,6.98,9.4
8,6.5,6.61,6.8
3,8.9,9.1,9.5
2,9.2,9.6,10
7,6,7.71,8.6
6,5.4,5.52,5.9
4,5.9,6.05,6.2
6,7.9,8.78,9.9
3,6.1,6.53,6.8
6,7.5,8.27,10
3,7.7,8.7,9.4
1,6.8,6.8,6.8
9,7.6,8.87,9.7
2,4.8,5.1,5.4
7,6.8,7.23,7.7
5,8.2,9,9.8
4,6.3,6.6,7.1
4,7.3,8.03,8.8
2,10.9,11.2,11.5
2,8.4,8.8,9.2
2,7.1,7.5,7.9
9,9,10.22,11.1
6,7.9,8.47,9
4,6.9,7.48,8.6
7,7.9,9.07,10.3
5,6.5,7.84,8.7
7,5.8,6.13,6.4
5,6.3,7.46,8.8
5,8.8,9.82,10.8
12,5.5,6.49,7
3,7.6,8.23,8.8
7,5.7,6,6.8
16,6.4,7.93,10.2
4,5.7,6.75,9.5
4,8.1,9.25,11.1
5,8.4,8.98,9.6
4,8.1,8.9,9.6
7,5.8,5.99,6.3
7,6.9,7.4,8.1
9,5.7,9.03,11.9
5,6.4,6.88,7.6
9,8.8,9.13,9.8
6,7.8,8.27,8.7
9,7.8,8.82,9.8
8,7.9,9.26,10.1
5,6.6,7.7,8.4
2,5.8,5.85,5.9
4,8.5,8.9,9.7
4,6.6,7.63,8.6
4,10.1,11.28,13.8
2,8.3,8.65,9
6,6.3,6.83,8.3
8,6.3,8.09,9.8
5,6.6,7.48,8.2
4,7.1,8.08,8.8
4,5.8,6.08,6.5
6,7.5,8.85,10.6
6,5.7,6.6,7.4
6,9.6,10.63,11.4
4,5.8,6.03,6.5
4,8,9.23,11.9
6,6,6.75,9.6
5,6.6,7,7.6
4,6.2,6.78,7.5
4,9.5,10.35,10.8
6,6.6,7.02,7.7
4,6.6,7.13,7.6
4,8.9,9.85,10.8
6,7.3,7.9,8.7
9,6.4,9.92,12.2
5,9.3,11.08,13.8
4,7.6,8.53,9.3
4,8.7,10.05,11.7
3,8,8.2,8.4
2,8.5,9.9,11.3
4,4.1,4.88,5.6
2,6.1,6.35,6.6
2,6.1,7,7.9
4,5.2,5.33,5.6
2,6.6,6.85,7.1
6,5.8,9,15.9
11,8.7,9.7,11
6,7.2,7.68,8.7
8,6.4,6.7,7.1
2,14,14.9,15.8
5,8.5,10.64,12
5,6.3,6.82,7.3
4,5.8,6.33,6.8
3,7.6,11.3,15.8
14,5.3,5.88,6.9
4,6.1,7.08,7.6
3,6.5,6.7,6.8
2,7.6,8.2,8.8
7,6.1,6.44,6.7
7,6.2,7.1,7.8
5,5.9,6.98,7.7
4,9.1,10.45,11.7
3,5.4,6.3,7.6
2,7.5,7.9,8.3
6,6.1,6.32,6.8
6,6.5,7.15,8
3,5.6,5.93,6.3
9,6.7,8.09,9.5
3,6.9,7.73,8.8
7,8.3,9.23,12.7
5,8.1,8.42,8.6
4,6.4,6.65,6.9
6,7.7,8.38,9.3
4,7.6,9.38,11.2
1,8.2,8.2,8.2
6,5.6,6.15,6.9
3,6.5,6.9,7.2
5,6.3,7.4,7.9
2,8.6,9.05,9.5
6,5.4,5.62,5.8
11,6.8,9.3,10.3
6,7.8,9.25,11.9
8,7.3,8.06,9.2
9,9.6,10,10.7
5,6.6,6.8,7.1
8,7.8,9.61,10.6
9,8.4,10.17,12.3
7,9.4,12.16,13.6
5,6.9,7.3,7.7
5,6.5,7.58,8.7
4,7.4,8.8,10.3
6,8.4,9.02,9.4
7,6.3,6.76,7.5
5,7.9,8.16,8.6
16,5.2,5.96,7.4
5,7.1,7.56,8.3
9,6,7.7,8.6
3,7.8,8.13,8.5
3,6.2,6.7,7
5,7.5,8.16,9.2
5,6.7,7.38,8.5
4,5.9,6.13,6.5
4,7.6,10.05,11.6
5,8.8,9.84,10.6
2,6.1,6.5,6.9
3,8.9,9.53,10.7
4,5.9,6.43,6.9
7,5.9,6.47,7
6,6.1,7.33,8.3
7,7,7.47,7.8
6,5.8,6.78,8.1
8,8.4,11.09,13.9
3,7.4,8.37,9.4
10,6.1,7.45,8.8
4,6,6.55,7.6
4,5.8,6.1,6.8
1,6.8,6.8,6.8
4,8.2,8.9,9.3
3,5.7,7.27,10.2
7,6.7,7.93,8.9
9,7.7,10.46,13.4
10,6.7,9.03,10.8
2,6.8,7.4,8
4,6.7,6.85,7.1
6,8.9,9.82,10.4
6,5.9,6.25,6.6
3,9.6,12.3,14.1
1,6.6,6.6,6.6
7,8.1,8.79,9.7
5,6,6.06,6.1
3,5.3,6.9,9.8
5,6.6,7.02,7.6
3,6.8,7.37,8.4
5,8.4,8.72,9
5,6.8,7.12,7.5
2,6.6,6.7,6.8
8,8,9.03,9.7
4,6.2,7.5,9.6
6,9.4,10.07,10.4
3,8.1,9.07,9.8
1,8.8,8.8,8.8
7,6.6,7.31,8.2
2,8.8,8.9,9
6,8.1,8.55,9.2
3,6.9,7.23,7.5
4,9.9,10.85,11.5
11,8.1,9.79,12.5
6,9.5,10.93,14.6
4,6.1,6.23,6.5
7,6.3,7.99,9.9
7,6.7,8.1,10.1
12,6.3,7.02,7.8
11,8.2,8.84,9.4
5,5.6,5.74,5.8
3,10.7,12.1,13.5
4,6.8,7.08,7.5
7,6,6.8,7.4
4,6.9,7.55,8.7
8,6.8,7.45,8.1
8,5.6,6.09,7.5
7,6,6.44,7
4,7.3,7.63,8.4
1,6.6,6.6,6.6
4,7,7.95,9.1
3,7.4,8.03,9
10,8,9.81,11.3
3,6.5,6.83,7.2
5,8.8,11,12.6
7,6.5,8.67,9.7
7,5.9,6.11,6.6
3,6.3,6.8,7.1
5,9.3,11.14,12.8
6,8.2,9.15,9.8
4,6.4,7.58,8.7
8,6.4,7.86,8.8
5,7.1,8.26,9.1
6,8.7,9.73,10.9
8,4.6,6.58,11.9
6,6.1,6.25,6.4
6,7.4,8.4,9.7
6,7.2,8.02,8.6
3,9.5,9.6,9.8
4,5.3,5.5,5.7
4,7.3,9.05,10.3
1,5.7,5.7,5.7
3,7.4,8,8.5
5,7.1,8.48,10
13,6.9,8.57,9.5
8,7.7,9.21,10.5
7,9,11.24,14
5,5.6,5.92,6.2
7,5.9,7,8.2
1,5.1,5.1,5.1
3,9.5,9.97,10.3
3,7.8,8.23,8.8
7,10,10.67,11.9
5,5.2,8.34,9.7
6,9,12.07,13.6
5,7.4,11.42,13
7,6.5,7.17,8
6,6.5,7.32,9
2,8,8.35,8.7
5,5.5,5.96,6.9
4,5.6,5.78,5.9
2,7.7,8.45,9.2
8,7.7,9.08,12.7
7,5.6,8.01,10.2
5,8.6,9.52,10.9
3,7.2,8.2,8.8
3,8.9,9.27,9.5
2,6.2,6.65,7.1
7,5.8,6.21,7
3,7.1,7.47,7.9
4,8.3,8.7,9.1
2,9.9,10.45,11
5,7.2,7.38,7.5
1,10.3,10.3,10.3
8,5.3,6.08,6.7
5,6.3,6.68,7.3
2,8.3,8.65,9
1,6.3,6.3,6.3
3,8.5,8.9,9.6
4,6.8,7.9,9.2
7,5.5,6.07,6.8
7,7.1,10.76,13.9
3,7.1,8.27,9.1
4,8.7,11.2,13
7,6,6.33,6.8
4,7.7,9.15,9.8
3,7.9,8.2,8.5
3,6.7,7.7,8.9
5,8.8,9.64,10.3
5,8.2,8.86,9.2
7,5.5,5.6,5.8
5,4.7,5.12,5.5
3,9,10.6,11.4
6,7.4,9.67,11.4
10,5.3,5.68,6.2
9,8,9.21,10
4,7.4,7.78,8.3
4,6.5,7.5,7.9
2,5.8,7.25,8.7
3,6.5,7,7.3
9,5.8,6.07,6.7
5,8.4,8.94,10
7,9,10.59,12.2
5,4.9,5.32,5.8
2,4.8,4.9,5
3,6.5,7.03,7.8
5,6.8,7.3,8.2
9,5.3,6.81,8.6
3,10.2,10.57,10.8
4,8.9,9.18,9.4
7,6,7.33,8.2
8,7.6,8.39,9.4
4,7.8,8.23,8.6
1,5.7,5.7,5.7
3,6.1,6.33,6.6
7,10,11.03,12
3,7.7,9.3,11.9
3,8.9,9.8,11
5,6.1,7.5,9
4,6.2,6.88,7.4
1,8.6,8.6,8.6
2,5.7,5.7,5.7
7,8.4,9.77,11
4,7.4,8.1,8.7
6,6.6,6.97,7.2
3,6.5,7.33,8.7
6,7.5,8.15,9
5,6.7,7.42,7.9
6,7,7.62,8.1
3,6.7,8.8,10.3
4,6.8,7,7.2
3,7,7.13,7.2
6,6.5,7.47,7.9
4,6.9,7.15,7.3
2,13.5,13.6,13.7
8,7.3,7.99,8.5
5,6.3,7.94,9.2
6,6.5,6.72,6.9
11,6.5,7.47,8.2
10,5.8,6.48,8
2,6.2,6.3,6.4
3,8.6,8.9,9.1
13,7.2,8.13,8.9
6,7.2,7.62,7.9
9,6.5,7.07,8.4
2,8.2,8.8,9.4
3,8.3,8.6,8.9
7,6.3,7.7,9.2
3,6.2,6.63,7.2
5,5.6,5.88,6.3
4,6.2,6.38,6.6
5,7.3,7.78,9
7,6.6,7.44,8
6,5.6,6.12,6.6
6,7.5,8.6,10
5,6.8,7.54,8.8
4,8.5,8.8,9.3
8,4.9,5.15,5.8
4,6.1,6.88,7.7
1,10,10,10
5,7,7.8,8.1
1,9.4,9.4,9.4
5,5.6,6,7
6,9.9,11.62,14.6
8,5.4,6.1,6.4
7,6.5,7.07,8.2
1,5.8,5.8,5.8
4,7.4,8.1,8.9
6,7.9,9.65,10.6
1,12,12,12
6,5.8,6.55,7.1
9,6.1,6.78,7.7
6,11.3,12.55,14.8
12,5.7,7.75,8.9
3,5.3,6.37,7.5
11,8.1,9,10.2
6,6.5,7,7.6
4,5.8,5.88,5.9
4,6.2,6.98,7.9
3,6.3,8.1,11.7
6,7.6,8.2,8.6
2,6.1,6.75,7.4
6,6.8,7.3,7.9
9,7.5,8.79,9.6
10,4.7,5.59,8.1
7,6.9,7.4,8.3
5,5.3,6.06,7.1
5,6.9,7.5,8
5,6.9,7.78,8.5
8,6.3,7.16,8.4
6,5.7,6,6.4
3,6.1,6.97,7.4
5,8.5,9.96,11.1
5,6.3,6.68,7.2
1,8.4,8.4,8.4
7,5.6,6.41,7.3
4,6.3,7.68,8.6
7,6,7.53,8.6
6,7,8.1,8.7
6,7,8.43,9.5
14,5.3,7.65,11.8
4,7.4,7.95,9.3
11,6.1,7.25,8.2
5,6.7,7.58,10.4
5,6.5,7.16,8.5
1,10.6,10.6,10.6
1,6.9,6.9,6.9
4,6.1,6.88,8.2
5,6.2,6.4,6.6
4,6.6,8.25,9.2
6,7.1,7.8,9.5
5,7.8,8.38,8.8
4,6.6,7.98,9
5,5.8,6.1,6.3
6,5.7,5.8,5.9
7,6.4,6.71,7.1
2,5.9,6.15,6.4
5,6.4,6.56,6.7
4,6,6.98,8.1
8,8.4,8.99,9.8
5,5.8,6.3,6.5
2,5.6,6.1,6.6
8,6.1,6.83,8
5,5.5,6,6.4
3,7.7,8.03,8.7
3,7.6,8.5,9.9
3,10,10.83,11.3
3,6.5,7.3,8.1
8,8.1,9.38,11
3,7.6,7.83,8.1
6,7.7,8.18,8.5
3,7.4,7.5,7.6
5,7.2,7.5,7.7
5,6.9,7.16,7.4
5,5.7,7.08,8.5
4,6.6,8.7,11
6,7.6,8.57,9.8
5,8.8,9.78,10.5
6,6.4,6.82,7.1
8,6.9,7.95,9
1,7.6,7.6,7.6
9,9,10,11.3
4,7.8,8.55,9.7
7,5.1,5.6,6.1
7,9.5,10.6,11.3
2,4.7,5.15,5.6
4,7.4,9.55,14.1
2,8.3,9.55,10.8
4,7.9,8.58,9.3
2,7.3,7.9,8.5
7,6.9,7.47,8.3
9,6.9,7.32,8
3,7.9,9.73,11.5
7,7.3,7.79,8.7
5,6.3,6.64,6.9
6,6.5,7.4,8.6
8,6.2,7.31,8.6
5,7.6,9.1,10
9,5.3,6.17,7
6,6.4,6.65,6.9
6,8.3,9.62,10.4
5,7.8,8.8,9.8
7,7.6,8.63,9.3
4,7.6,8.78,9.7
5,7.2,8.84,9.7
3,6.7,6.8,6.9
7,8.5,9.07,10.5
4,8.7,9.93,11.4
5,10.1,11.04,12.9
6,11.4,12.7,14
5,6.1,6.54,6.9
3,8.3,8.67,9
6,6.9,8.92,10.6
4,7.2,7.4,7.6
10,6,6.94,9.4
4,9.1,10.03,11
6,8.5,10.82,13.2
2,7.9,9.3,10.7
7,8.2,9.03,11.4
6,7.9,9.17,10.4
4,6.7,6.88,7.1
6,8.7,9.08,9.9
6,7.4,8.4,9.4
5,5.6,7.14,11.1
4,6.6,7.03,7.6
7,7.3,8.06,8.6
8,6.1,6.34,7
7,8.1,9.23,12.8
2,6.8,7.1,7.4
5,6.7,7.08,7.4
4,6.5,6.9,7.3
2,10,10.3,10.6
4,11,11.58,12.5
5,6.8,7.82,9.4
3,8.9,9.77,10.3
3,5.4,5.67,5.9
5,5.4,5.62,6
5,8.6,9.4,10.8
3,10.1,10.7,11.1
9,5.6,10.34,12.1
5,6.9,10.02,14.6
7,6.9,7.46,7.9
1,13.2,13.2,13.2
5,8.3,9.26,10.4
5,7.9,9.28,10.1
4,6.4,6.6,6.9
5,7.4,8.24,9.1
3,6.1,7.5,8.4
4,8.4,9.13,9.9
3,8.6,10.57,14.2
3,6.2,6.9,7.3
3,7.3,7.83,8.6
1,8.9,8.9,8.9
3,7.5,7.97,8.7
8,7.2,7.83,9.3
4,7.4,8.1,8.4
3,6.5,6.6,6.7
3,7.1,7.3,7.6
3,7.6,7.9,8.4
4,8.5,9.9,10.7
10,8.3,8.91,9.7
3,7.1,7.37,7.8
2,6.2,6.35,6.5
2,7.1,10.05,13
2,6.4,6.5,6.6
5,7,7.22,7.5
6,9.5,11.18,13.8
4,8.3,11.33,13.1
6,5.9,6.02,6.1
7,5.7,8.56,11.7
3,7.2,7.6,8
4,4.8,5.03,5.3
5,5.5,6.52,8.6
4,4,4.33,4.7
1,16.6,16.6,16.6
6,13,14.45,15.5
6,8.2,9.42,10.4
5,8.4,8.74,9.6
6,6.1,6.32,6.9
2,7.7,8.05,8.4
9,5.7,5.88,6.1
2,7.2,7.7,8.2
7,6.1,6.57,7.5
4,7.5,8.4,9.6
4,6.2,6.6,7.2
10,6.6,7.02,7.5
3,7.4,10.53,12.6
9,5.8,6.32,6.7
5,10.7,13.48,14.8
2,6.1,7.35,8.6
3,6.7,7.23,7.7
5,7,7.58,8.6
4,6.5,6.85,7.3
6,5.4,6.28,8.3
5,8.1,9.96,12
7,7.7,9.5,13.2
5,8.1,8.48,8.7
4,4.8,5.13,5.6
6,6.2,6.57,7.2
5,5.6,10.08,14.5
3,8.8,9.17,9.8
6,7.6,8.12,9
4,8.1,9.48,10.4
4,7.6,8.48,10.3
5,8.5,12.06,14.7
5,5.3,5.66,6
5,11.2,13.76,15.2
7,6.6,7.04,7.7
7,6.2,8.61,11.7
3,7,7.47,8.1
10,7.6,8.65,9.2
5,6.3,6.62,6.9
4,7.8,9.08,9.8
4,5.5,6.03,6.8
3,8.2,10.63,12.2
1,8.9,8.9,8.9
4,8.2,8.98,9.8
5,5.2,5.42,5.7
7,7.5,7.84,8.4
3,4.9,5.07,5.2
3,9.4,11,14
2,7.5,7.75,8
2,6.6,7,7.4
6,7.2,7.65,8.4
2,8.9,8.95,9
2,9.7,10.2,10.7
5,7.3,7.58,8
9,6.2,7.43,9
5,6.8,8.36,10.1
1,7.2,7.2,7.2
9,5.5,6.58,7.7
2,7,8.25,9.5
4,7.3,8.28,8.9
4,6.7,7.05,7.7
7,10.7,12.23,14
6,6.9,7.82,9.3
3,6.8,7.23,7.6
4,8.9,10.03,12.1
1,8.7,8.7,8.7
6,6.2,7.25,7.9
6,6.3,6.55,6.9
4,9,9.4,9.9
1,6.3,6.3,6.3
7,9.8,10.4,11.6
8,6.9,7.48,8.1
1,8.5,8.5,8.5
5,6.8,8.06,10
5,7.2,9.94,12
5,6.3,7.44,8.5
3,8.2,8.4,8.6
10,6,7.29,8.3
5,7,7.22,7.5
4,7.1,8.35,10.1
1,8.5,8.5,8.5
4,6.7,7.4,8.8
4,8.8,10.68,11.9
9,5.7,6.1,6.5
2,7.5,7.7,7.9
4,6,6.2,6.4
4,6.4,6.55,6.8
4,6.8,6.98,7.2
5,6.4,6.9,7.5
5,5.8,5.94,6
8,6.7,7.93,9.5
9,7.3,8.79,9.7
3,9,10.63,11.8
7,8.9,9.34,9.8
7,8.2,9.93,13.9
4,8.1,8.53,9.1
4,8.9,10.1,11.4
4,8.4,9.05,9.7
7,7,7.87,10
7,7.8,9.17,10.9
1,8.3,8.3,8.3
11,6.2,8.36,9
1,6.5,6.5,6.5
9,6.6,7.46,8.7
8,6.9,7.45,8.4
4,8.4,8.65,9
9,7.2,9.22,9.8
2,7.3,7.35,7.4
3,7.3,7.47,7.8
5,7.5,8.92,11.3
2,10.1,11.45,12.8
5,7,7.42,7.8
5,7.4,8.7,10.7
1,6.6,6.6,6.6
7,7.2,9.1,10.4
6,5.9,6.25,6.6
6,6.2,6.43,6.7
8,8.8,10.56,12.7
5,6.4,7.34,8.3
1,7.5,7.5,7.5
4,6.4,8.23,9.4
5,5.6,5.72,5.9
6,5.6,5.8,6
4,6.7,7.4,8.9
5,5.4,6.32,7.1
5,7,8.64,10
11,7.1,7.75,8.7
1,9.8,9.8,9.8
8,9.2,11.16,13.4
9,6.3,7.76,9.3
2,14,14,14
3,8.2,8.83,9.9
3,10.4,11.13,11.7
1,6.7,6.7,6.7
1,10.6,10.6,10.6
6,6.3,7.15,8.8
3,9,10.07,10.9
4,8.1,8.63,9.1
5,5.5,6.5,7.6
5,5.3,6.9,8.9
5,6.9,7.44,7.7
6,6.9,7.57,8.2
6,6.7,8.43,9
6,7.3,7.93,8.3
6,7.7,8.7,9.5
4,6.3,7.3,7.9
6,8,9.78,11.9
9,6.1,7.74,9.1
5,7,7.74,9.2
9,6.4,7.4,8.3
3,7.9,8.17,8.7
